date,duration,disaster,claims,total_cost,losses_per_day,provinces
2023-10-02,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,3,8776.0,4388.0,"['Tarragona', 'Zaragoza']"
2023-10-28,1,CAUSAS NATURALES/EMBATE DE MAR,2,8564.0,8564.0,['Asturias']
2023-05-05,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,8460.0,8460.0,['Illes Balears']
2023-10-16,2,CAUSAS NATURALES/EMBATE DE MAR,3,8442.0,4221.0,"['Tarragona', 'Barcelona']"
2023-10-22,1,CAUSAS NATURALES/EMBATE DE MAR,1,8088.0,8088.0,['Cadiz']
2023-02-18,1,CAUSAS NATURALES/EMBATE DE MAR,2,7363.0,7363.0,['Cadiz']
2023-02-04,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,7344.0,7344.0,['Las Palmas']
2023-12-12,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,7144.0,7144.0,['Madrid']
2023-01-01,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,6937.0,6937.0,['Toledo']
2023-12-07,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,7,6920.0,6920.0,['Bizkaia']
2023-02-02,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,6833.0,6833.0,['Tarragona']
2023-12-12,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,6777.0,6777.0,['Pontevedra']
2023-09-04,1,CAUSAS NATURALES/EMBATE DE MAR,1,6412.0,6412.0,['Alicante']
2023-01-17,1,CAUSAS NATURALES/EMBATE DE MAR,1,6361.0,6361.0,['Girona']
2023-04-29,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,4,6246.0,3123.0,['Burgos']
2023-01-31,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,5228.0,1742.6666666666667,"['A Coruna', 'Pontevedra']"
2023-11-22,3,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,7,5201.0,1733.6666666666667,"['Girona', 'Barcelona']"
2023-05-05,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,3,5132.0,2566.0,"['Segovia', 'Madrid', 'Toledo']"
2023-11-03,1,CAUSAS NATURALES/EMBATE DE MAR,1,5118.0,5118.0,['Girona']
2023-01-08,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,5025.0,2512.5,"['Sevilla', 'Cadiz']"
2023-01-05,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,5024.0,5024.0,['Jaen']
2023-01-17,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,4847.0,2423.5,['Soria']
2023-09-22,1,CAUSAS NATURALES/EMBATE DE MAR,1,4687.0,4687.0,['Girona']
2023-08-03,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,4663.0,4663.0,['Toledo']
2023-12-15,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,4663.0,4663.0,['Huesca']
2023-01-30,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,4493.0,4493.0,['Cadiz']
2023-10-13,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,2,4442.0,4442.0,['A Coruna']
2023-03-08,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,4309.0,4309.0,['Burgos']
2023-10-19,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,4125.0,4125.0,['Ceuta']
2023-01-07,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,4063.0,4063.0,['Illes Balears']
2023-10-20,1,CAUSAS NATURALES/EMBATE DE MAR,1,3950.0,3950.0,['Pontevedra']
2023-02-09,1,CAUSAS NATURALES/EMBATE DE MAR,1,3926.0,3926.0,['Illes Balears']
2023-09-17,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,3926.0,1963.0,['Illes Balears']
2023-02-02,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,3919.0,3919.0,['Cantabria']
2023-10-28,1,CAUSAS NATURALES/EMBATE DE MAR,1,3867.0,3867.0,['A Coruna']
2023-02-07,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,3803.0,3803.0,['Illes Balears']
2023-01-18,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,3549.0,3549.0,['Sevilla']
2023-12-30,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,3,3535.0,3535.0,"['Araba', 'Cantabria', 'Bizkaia']"
2023-08-14,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,3,3520.0,3520.0,['Huesca']
2023-01-09,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,3287.0,3287.0,['Cantabria']
2023-06-14,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,3190.0,3190.0,['Illes Balears']
2023-03-29,1,CAUSAS NATURALES/EMBATE DE MAR,1,2947.0,2947.0,['Santa Cruz de Tenerife']
2023-01-01,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,2902.0,2902.0,['Asturias']
2023-05-13,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,3,2867.0,2867.0,['Alicante']
2023-09-30,1,CAUSAS NATURALES/EMBATE DE MAR,2,2847.0,2847.0,['Cantabria']
2023-02-23,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,2781.0,2781.0,['Tarragona']
2023-08-04,1,CAUSAS NATURALES/EMBATE DE MAR,1,2704.0,2704.0,['Almeria']
2023-10-10,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,2504.0,2504.0,['Illes Balears']
2023-11-22,2,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,5,2480.0,1240.0,['Huesca']
2023-03-02,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,2417.0,2417.0,['Pontevedra']
2023-02-25,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,2396.0,2396.0,['A Coruna']
2023-06-06,1,CAUSAS NATURALES/EMBATE DE MAR,2,2274.0,2274.0,['Las Palmas']
2023-04-04,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,2203.0,2203.0,['Illes Balears']
2023-02-17,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,2050.0,2050.0,['A Coruna']
2023-04-28,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1999.0,1999.0,['Zaragoza']
2023-12-03,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,1892.0,1892.0,['Cantabria']
2023-11-30,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,3,1870.0,1870.0,['Salamanca']
2023-02-14,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1830.0,1830.0,['Cadiz']
2023-03-08,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1793.0,1793.0,['Ourense']
2023-12-30,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,1771.0,1771.0,['A Coruna']
2023-03-26,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,1758.0,1758.0,['Navarra']
2023-04-23,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,1693.0,1693.0,['Girona']
2023-01-13,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1642.0,1642.0,['Castellon']
2023-12-30,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,1580.0,1580.0,['Lugo']
2023-04-28,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1460.0,1460.0,['Illes Balears']
2023-01-07,3,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,3,1458.0,486.0,['Illes Balears']
2023-11-28,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1451.0,1451.0,['Pontevedra']
2023-01-02,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,1389.0,1389.0,['Cadiz']
2023-09-06,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,1389.0,1389.0,['Granada']
2023-05-06,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1360.0,1360.0,['A Coruna']
2023-09-02,2,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,3,1338.0,669.0,"['Malaga', 'Granada']"
2023-12-18,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1304.0,1304.0,['A Coruna']
2023-02-07,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1263.0,1263.0,['Cantabria']
2023-09-02,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1208.0,1208.0,['Melilla']
2023-12-03,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,1141.0,1141.0,['A Coruna']
2023-05-01,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1137.0,1137.0,['Granada']
2023-03-13,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,1059.0,1059.0,['A Coruna']
2023-12-07,2,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,2,1023.0,511.5,"['Lugo', 'A Coruna']"
2023-02-23,1,CAUSAS NATURALES/EMBATE DE MAR,1,970.0,970.0,['Barcelona']
2023-01-25,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,932.0,932.0,['Cordoba']
2023-03-10,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,2,874.0,874.0,['Zaragoza']
2023-09-15,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,849.0,849.0,['Asturias']
2023-09-03,1,CAUSAS NATURALES/EMBATE DE MAR,1,833.0,833.0,['Castellon']
2023-01-11,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,818.0,818.0,['Ciudad Real']
