,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
1411,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,10149.0,5,"[28032, 28701, 28022]",2,5074.5
1412,2023-06-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,22511.0,5,"[28492, 28042, 28696, 28100, 28042]",1,22511.0
1417,2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,412802.0,36,"[28864, 28260, 28037, 28231, 28935, 28240, 28850, 28690, 28691, 28791, 28380, 28350]",5,82560.4
1422,2023-06-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,225368.0,57,"[28003, 28804, 28806, 28390, 28590, 28752, 28560, 28690, 28020, 28341, 28597, 28791, 28600, 28410, 28411, 28380, 28991]",5,45073.6
1428,2023-06-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,30212.0,8,"[28450, 28042, 28045, 28341, 28791, 28412]",6,5035.333333333333
1429,2023-07-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,11747.0,2,"[28460, 28792]",1,11747.0
1430,2023-07-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,6904.0,1,[28530],1,6904.0
1431,2023-07-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,1105.0,1,[28990],1,1105.0
1432,2023-08-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,82.0,1,[28700],1,82.0
1433,2023-08-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,287.0,1,[28917],1,287.0
1434,2023-08-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,610.0,1,[28700],1,610.0
1451,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,51550509.0,6192,"[28680, 28292, 28802, 28690, 28691, 28692, 28693, 28694, 28695, 28696, 28180, 28700, 28701, 28702, 28703, 28706, 28707, 28708, 28709, 28710, 28200, 28720, 28210, 28723, 28212, 28213, 28214, 28211, 28219, 28220, 28811, 28222, 28223, 28224, 28812, 28739, 28740, 28229, 28742, 28231, 28232, 28743, 28749, 28750, 28240, 28248, 28760, 28250, 28003, 28770, 28260, 28270, 28791, 28280, 28792, 28794, 28801, 28290, 28803, 28804, 28293, 28294, 28295, 28296, 28807, 28297, 28810, 28300, 28805, 28806, 28813, 28816, 28817, 28814, 28523, 28815, 28821, 28822, 28823, 28818, 28830, 28320, 28840, 28330, 28529, 28850, 28340, 28343, 28860, 28861, 28350, 28863, 28864, 28862, 28359, 28880, 28370, 28028, 28890, 28891, 28380, 28901, 28902, 28903, 28904, 28905, 28906, 28909, 28400, 28914, 28916, 28918, 28919, 28921, 28922, 28923, 28411, 28925, 28924, 28410, 28412, 28931, 28420, 28933, 28934, 28935, 28936, 28937, 28938, 28939, 28941, 28942, 28943, 28944, 28430, 28945, 28946, 28947, 28950, 28440, 28970, 28971, 28976, 28977, 28978, 28979, 28981, 28470, 28983, 28982, 28990, 28991, 28490, 28491, 28492, 28500, 28510, 28000, 28001, 28002, 28514, 28004, 28005, 28006, 28007, 28008, 28521, 28009, 28011, 28012, 28010, 28014, 28015, 28016, 28017, 28530, 28019, 28020, 28021, 28022, 28023, 28024, 28025, 28026, 28027, 28540, 28029, 28030, 28031, 28032, 28033, 28034, 28035, 28036, 28037, 28038, 28039, 28040, 28041, 28042, 28043, 28044, 28045, 28046, 28047, 28560, 28049, 28050, 28051, 28052, 28053, 28054, 28055, 28590, 28597, 28598, 28600, 28607, 28609, 28610, 28100, 28620, 28109, 28108, 28110, 28630, 28120, 28640, 28130, 28650, 28140, 28660, 28150, 28670]",17,3032382.882352941
1452,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,1537.0,1,[28004],1,1537.0
1453,2023-09-24,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,2722.0,1,[28400],1,2722.0
1455,2023-09-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,7432.0,4,"[28032, 28814, 28806]",2,3716.0
1457,2023-10-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,17168.0,3,"[28609, 28021, 28607]",2,8584.0
1458,2023-10-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,384.0,1,[28770],1,384.0
1459,2023-10-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,1986.0,1,[28907],1,1986.0
1460,2023-10-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,7087.0,2,"[28804, 28815]",1,7087.0
1461,2023-10-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,2408.0,1,[28691],1,2408.0
